id_ordem_servico,id_parada_scada,aerogerador,tipo_manutencao,equipe_responsavel,qte_tecnicos,homem_hora_trabalhada,status_ordem,custo_materiais_brl,pecas_substituidas
WO-1213,935,WTG-12,Corrective,Equipe Gama (Geral),2,28.1,Concluída,4005.0,Fiação / Componentes menores
WO-1214,937,WTG-12,Corrective,Equipe Alpha (Mecânica),3,31.3,Concluída,8706.78,Fiação / Componentes menores
WO-1215,938,WTG-06,Corrective,Equipe Alpha (Mecânica),2,34.4,Concluída,45833.6,Fiação / Componentes menores
WO-1216,944,WTG-29,Corrective,Equipe Alpha (Mecânica),2,24.5,Encerrada com Ressalva,2553.06,Fiação / Componentes menores
WO-1217,946,WTG-04,Corrective,Equipe Alpha (Mecânica),3,36.8,Concluída,50269.38,Fiação / Componentes menores
WO-1218,949,WTG-22,Preventive,Equipe Gama (Geral),4,122.5,Concluída,14979.2,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1219,951,WTG-15,Corrective,Equipe Gama (Geral),3,4.8,Concluída,2316.11,Fiação / Componentes menores
WO-1220,954,WTG-08,Corrective,Equipe Alpha (Mecânica),3,48.0,Concluída,1899.45,Fiação / Componentes menores
WO-1221,955,WTG-10,Corrective,Equipe Alpha (Mecânica),2,3.0,Concluída,40875.21,Fiação / Componentes menores
WO-1222,957,WTG-09,Corrective,Equipe Gama (Geral),2,20.4,Concluída,5648.06,Fiação / Componentes menores
WO-1223,972,WTG-14,Corrective,Equipe Gama (Geral),2,35.8,Concluída,21024.65,Fiação / Componentes menores
WO-1224,976,WTG-02,Corrective,Equipe Gama (Geral),2,46.0,Concluída,45677.35,Fiação / Componentes menores
WO-1225,979,WTG-07,Corrective,Equipe Alpha (Mecânica),2,30.2,Concluída,20275.98,Fiação / Componentes menores
WO-1226,990,WTG-10,Preventive,Equipe Gama (Geral),3,89.4,Concluída,13250.72,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1227,991,WTG-27,Corrective,Equipe Gama (Geral),3,34.7,Encerrada com Ressalva,47110.33,Fiação / Componentes menores
WO-1228,992,WTG-20,Corrective,Equipe Alpha (Mecânica),3,32.7,Concluída,57696.8,Fiação / Componentes menores
WO-1229,995,WTG-20,Preventive,Equipe Alpha (Mecânica),3,76.3,Concluída,12086.12,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1230,1000,WTG-03,Corrective,Equipe Gama (Geral),2,12.8,Concluída,10009.57,Fiação / Componentes menores
WO-1231,1001,WTG-30,Corrective,Equipe Gama (Geral),3,58.0,Concluída,21525.74,Fiação / Componentes menores
WO-1232,1006,WTG-30,Corrective,Equipe Gama (Geral),2,29.1,Concluída,43745.03,Fiação / Componentes menores
WO-1233,1007,WTG-04,Corrective,Equipe Alpha (Mecânica),3,26.1,Concluída,19140.77,Fiação / Componentes menores
WO-1234,1008,WTG-09,Corrective,Equipe Alpha (Mecânica),2,8.1,Concluída,38946.04,Fiação / Componentes menores
WO-1235,1014,WTG-29,Preventive,Equipe Alpha (Mecânica),3,81.6,Concluída,9042.87,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1236,1024,WTG-05,Corrective,Equipe Gama (Geral),3,25.5,Aguardando Peça,5574.36,Fiação / Componentes menores
WO-1237,1037,WTG-28,Corrective,Equipe Alpha (Mecânica),3,65.2,Concluída,39352.38,Fiação / Componentes menores
WO-1238,1047,WTG-22,Corrective,Equipe Alpha (Mecânica),3,25.9,Concluída,44762.15,Fiação / Componentes menores
WO-1239,1055,WTG-20,Corrective,Equipe Gama (Geral),2,29.9,Concluída,19274.54,Fiação / Componentes menores
WO-1240,1056,WTG-28,Corrective,Equipe Gama (Geral),3,6.8,Concluída,21870.48,Fiação / Componentes menores
WO-1241,1059,WTG-18,Preventive,Equipe Gama (Geral),4,100.9,Concluída,9633.17,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1242,1061,WTG-03,Corrective,Equipe Gama (Geral),2,17.3,Concluída,31751.18,Fiação / Componentes menores
WO-1243,1066,WTG-24,Preventive,Equipe Gama (Geral),3,89.5,Concluída,10558.53,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1244,1067,WTG-02,Preventive,Equipe Alpha (Mecânica),4,115.8,Concluída,12805.84,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1245,1071,WTG-07,Preventive,Equipe Alpha (Mecânica),3,76.4,Concluída,6232.05,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1246,1079,WTG-20,Corrective,Equipe Gama (Geral),2,35.3,Concluída,46085.39,Fiação / Componentes menores
WO-1247,1082,WTG-25,Preventive,Equipe Alpha (Mecânica),4,102.5,Concluída,7838.07,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1248,1088,WTG-08,Corrective,Equipe Gama (Geral),3,19.0,Concluída,2206.32,Fiação / Componentes menores
WO-1249,1091,WTG-20,Corrective,Equipe Gama (Geral),2,44.0,Concluída,53702.12,Fiação / Componentes menores
WO-1250,1092,WTG-22,Corrective,Equipe Gama (Geral),2,27.6,Concluída,26206.56,Fiação / Componentes menores
WO-1251,1098,WTG-12,Corrective,Equipe Alpha (Mecânica),3,24.2,Concluída,16165.2,Fiação / Componentes menores
WO-1252,1099,WTG-09,Corrective,Equipe Gama (Geral),3,61.1,Encerrada com Ressalva,34862.95,Fiação / Componentes menores
WO-1253,1101,WTG-30,Corrective,Equipe Gama (Geral),3,47.2,Concluída,6184.6,Fiação / Componentes menores
WO-1254,1107,WTG-01,Preventive,Equipe Alpha (Mecânica),3,84.1,Concluída,14768.67,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1255,1108,WTG-14,Preventive,Equipe Alpha (Mecânica),4,112.8,Concluída,7365.17,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1256,1109,WTG-03,Corrective,Equipe Alpha (Mecânica),3,66.1,Concluída,38254.12,Fiação / Componentes menores
WO-1257,1111,WTG-10,Corrective,Equipe Gama (Geral),3,30.2,Concluída,41627.02,Fiação / Componentes menores
WO-1258,1114,WTG-13,Preventive,Equipe Gama (Geral),4,120.0,Concluída,13920.44,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1259,1118,WTG-06,Corrective,Equipe Gama (Geral),3,14.0,Concluída,25683.25,Fiação / Componentes menores
WO-1260,1122,WTG-25,Corrective,Equipe Gama (Geral),2,7.5,Concluída,32040.46,Fiação / Componentes menores
WO-1261,1129,WTG-05,Corrective,Equipe Gama (Geral),3,39.6,Concluída,40365.15,Fiação / Componentes menores
WO-1262,1134,WTG-26,Preventive,Equipe Gama (Geral),4,101.1,Concluída,13603.87,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1263,1136,WTG-14,Corrective,Equipe Gama (Geral),2,26.5,Concluída,39667.75,Fiação / Componentes menores
WO-1264,1143,WTG-08,Preventive,Equipe Alpha (Mecânica),4,100.8,Concluída,12293.09,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1265,1144,WTG-08,Corrective,Equipe Alpha (Mecânica),2,20.5,Concluída,40167.56,Fiação / Componentes menores
WO-1266,1145,WTG-28,Corrective,Equipe Gama (Geral),2,17.7,Concluída,19902.79,Fiação / Componentes menores
WO-1267,1147,WTG-26,Corrective,Equipe Gama (Geral),2,42.2,Concluída,43679.94,Fiação / Componentes menores
WO-1268,1162,WTG-11,Corrective,Equipe Gama (Geral),2,38.8,Concluída,37261.6,Fiação / Componentes menores
WO-1269,1164,WTG-15,Preventive,Equipe Gama (Geral),4,113.8,Concluída,13911.51,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1270,1166,WTG-18,Corrective,Equipe Alpha (Mecânica),3,15.7,Concluída,30221.51,Fiação / Componentes menores
WO-1271,1173,WTG-19,Corrective,Equipe Gama (Geral),2,43.4,Concluída,2533.85,Fiação / Componentes menores
WO-1272,1175,WTG-25,Corrective,Equipe Gama (Geral),3,9.9,Concluída,12928.59,Fiação / Componentes menores
WO-1273,1176,WTG-13,Corrective,Equipe Alpha (Mecânica),3,34.9,Concluída,14735.76,Fiação / Componentes menores
WO-1274,1177,WTG-28,Preventive,Equipe Gama (Geral),4,124.8,Concluída,6033.15,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1275,1180,WTG-17,Preventive,Equipe Gama (Geral),4,115.2,Concluída,7822.37,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1276,1182,WTG-25,Corrective,Equipe Gama (Geral),2,13.6,Aguardando Peça,56382.54,Fiação / Componentes menores
WO-1277,1184,WTG-04,Corrective,Equipe Gama (Geral),3,26.8,Concluída,38463.72,Fiação / Componentes menores
WO-1278,1185,WTG-12,Corrective,Equipe Alpha (Mecânica),2,39.6,Concluída,16997.75,Fiação / Componentes menores
WO-1279,1186,WTG-04,Corrective,Equipe Gama (Geral),2,17.0,Concluída,13806.98,Fiação / Componentes menores
WO-1280,1189,WTG-20,Corrective,Equipe Gama (Geral),3,30.6,Concluída,23699.39,Fiação / Componentes menores
WO-1281,1202,WTG-05,Preventive,Equipe Alpha (Mecânica),4,109.6,Concluída,10897.52,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1282,1205,WTG-20,Corrective,Equipe Gama (Geral),2,44.9,Concluída,34118.34,Fiação / Componentes menores
WO-1283,1207,WTG-28,Corrective,Equipe Alpha (Mecânica),2,49.1,Concluída,15161.57,Fiação / Componentes menores
WO-1284,1209,WTG-14,Corrective,Equipe Gama (Geral),3,55.8,Concluída,15846.88,Fiação / Componentes menores
WO-1285,1213,WTG-19,Preventive,Equipe Alpha (Mecânica),4,109.8,Concluída,12279.49,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1286,1215,WTG-20,Corrective,Equipe Alpha (Mecânica),2,28.9,Concluída,54955.26,Fiação / Componentes menores
WO-1287,1219,WTG-23,Corrective,Equipe Gama (Geral),3,23.1,Concluída,14388.14,Fiação / Componentes menores
WO-1288,1225,WTG-03,Preventive,Equipe Alpha (Mecânica),4,103.5,Concluída,5685.32,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1289,1242,WTG-18,Corrective,Equipe Alpha (Mecânica),3,16.0,Concluída,31533.73,Fiação / Componentes menores
WO-1290,1245,WTG-28,Corrective,Equipe Alpha (Mecânica),3,28.3,Concluída,31281.59,Fiação / Componentes menores
WO-1291,1255,WTG-17,Corrective,Equipe Gama (Geral),3,21.6,Concluída,31116.22,Fiação / Componentes menores
WO-1292,1261,WTG-18,Corrective,Equipe Alpha (Mecânica),3,28.5,Concluída,1630.55,Fiação / Componentes menores
WO-1293,1268,WTG-01,Corrective,Equipe Gama (Geral),3,55.5,Concluída,58614.5,Fiação / Componentes menores
WO-1294,1281,WTG-20,Corrective,Equipe Alpha (Mecânica),3,48.0,Concluída,7969.8,Fiação / Componentes menores
WO-1295,1285,WTG-07,Corrective,Equipe Gama (Geral),2,3.8,Concluída,26119.15,Fiação / Componentes menores
WO-1296,1287,WTG-28,Corrective,Equipe Gama (Geral),3,33.7,Concluída,50656.35,Fiação / Componentes menores
WO-1297,1294,WTG-01,Corrective,Equipe Gama (Geral),3,6.8,Concluída,41981.84,Fiação / Componentes menores
WO-1298,1297,WTG-14,Corrective,Equipe Alpha (Mecânica),2,19.6,Concluída,24117.42,Fiação / Componentes menores
WO-1299,1302,WTG-21,Preventive,Equipe Gama (Geral),4,113.5,Aguardando Peça,11879.77,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1300,1303,WTG-01,Corrective,Equipe Alpha (Mecânica),2,30.4,Concluída,35686.11,Fiação / Componentes menores
WO-1301,1305,WTG-28,Corrective,Equipe Gama (Geral),3,39.6,Concluída,37698.17,Fiação / Componentes menores
WO-1302,1318,WTG-24,Corrective,Equipe Gama (Geral),3,66.6,Concluída,41649.25,Fiação / Componentes menores
WO-1303,1319,WTG-27,Preventive,Equipe Gama (Geral),4,105.4,Concluída,5330.45,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1304,1332,WTG-16,Corrective,Equipe Alpha (Mecânica),3,22.3,Concluída,54829.87,Fiação / Componentes menores
WO-1305,1335,WTG-09,Preventive,Equipe Gama (Geral),3,87.0,Concluída,7532.56,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1306,1336,WTG-30,Preventive,Equipe Gama (Geral),4,112.5,Concluída,6530.48,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1307,1338,WTG-30,Corrective,Equipe Alpha (Mecânica),3,74.5,Concluída,58083.7,Fiação / Componentes menores
WO-1308,1342,WTG-28,Corrective,Equipe Alpha (Mecânica),2,23.2,Concluída,12815.2,Fiação / Componentes menores
WO-1309,1343,WTG-16,Preventive,Equipe Alpha (Mecânica),3,83.4,Concluída,10594.62,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1310,1354,WTG-08,Corrective,Equipe Gama (Geral),3,16.1,Aguardando Peça,48287.55,Fiação / Componentes menores
WO-1311,1355,WTG-24,Corrective,Equipe Gama (Geral),3,72.0,Encerrada com Ressalva,32041.15,Fiação / Componentes menores
WO-1312,1356,WTG-15,Corrective,Equipe Gama (Geral),3,2.2,Concluída,39397.89,Fiação / Componentes menores
WO-1313,1359,WTG-12,Preventive,Equipe Alpha (Mecânica),3,77.5,Concluída,12427.66,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1314,1362,WTG-08,Corrective,Equipe Gama (Geral),3,50.4,Concluída,11283.53,Fiação / Componentes menores
WO-1315,1365,WTG-23,Preventive,Equipe Alpha (Mecânica),3,94.0,Concluída,14388.77,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1316,1373,WTG-30,Corrective,Equipe Gama (Geral),3,13.1,Concluída,46759.97,Fiação / Componentes menores
WO-1317,1376,WTG-11,Corrective,Equipe Gama (Geral),3,64.3,Concluída,54868.69,Fiação / Componentes menores
WO-1318,1382,WTG-30,Corrective,Equipe Alpha (Mecânica),2,8.1,Concluída,37931.42,Fiação / Componentes menores
WO-1319,1383,WTG-11,Corrective,Equipe Gama (Geral),3,17.4,Aguardando Peça,54931.17,Fiação / Componentes menores
WO-1320,1384,WTG-15,Corrective,Equipe Gama (Geral),3,19.8,Concluída,40534.29,Fiação / Componentes menores
WO-1321,1385,WTG-29,Corrective,Equipe Gama (Geral),3,6.1,Concluída,9718.91,Fiação / Componentes menores
WO-1322,1388,WTG-11,Corrective,Equipe Gama (Geral),3,79.3,Concluída,49475.64,Fiação / Componentes menores
WO-1323,1389,WTG-20,Corrective,Equipe Gama (Geral),2,11.5,Concluída,21441.59,Fiação / Componentes menores
WO-1324,1394,WTG-26,Corrective,Equipe Alpha (Mecânica),2,21.1,Concluída,54545.09,Fiação / Componentes menores
WO-1325,1395,WTG-08,Corrective,Equipe Alpha (Mecânica),3,22.7,Concluída,30431.18,Fiação / Componentes menores
WO-1326,1399,WTG-03,Corrective,Equipe Alpha (Mecânica),2,36.7,Concluída,33646.95,Fiação / Componentes menores
WO-1327,1403,WTG-15,Corrective,Equipe Alpha (Mecânica),3,4.5,Concluída,37318.49,Fiação / Componentes menores
WO-1328,1414,WTG-18,Corrective,Equipe Alpha (Mecânica),2,10.8,Concluída,47008.22,Fiação / Componentes menores
WO-1329,1418,WTG-19,Corrective,Equipe Alpha (Mecânica),2,11.6,Concluída,1775.72,Fiação / Componentes menores
WO-1330,1428,WTG-17,Corrective,Equipe Gama (Geral),2,9.2,Concluída,43699.81,Fiação / Componentes menores
WO-1331,1429,WTG-23,Corrective,Equipe Alpha (Mecânica),3,38.7,Concluída,9938.47,Fiação / Componentes menores
WO-1332,1432,WTG-09,Corrective,Equipe Alpha (Mecânica),3,59.3,Concluída,38436.71,Fiação / Componentes menores
WO-1333,1434,WTG-14,Corrective,Equipe Alpha (Mecânica),2,13.4,Concluída,13420.39,Fiação / Componentes menores
WO-1334,1435,WTG-03,Corrective,Equipe Alpha (Mecânica),3,9.6,Encerrada com Ressalva,57881.88,Fiação / Componentes menores
WO-1335,1436,WTG-22,Corrective,Equipe Alpha (Mecânica),3,46.6,Concluída,41659.69,Fiação / Componentes menores
WO-1336,1438,WTG-21,Corrective,Equipe Gama (Geral),2,18.6,Encerrada com Ressalva,39170.12,Fiação / Componentes menores
WO-1337,1445,WTG-19,Corrective,Equipe Alpha (Mecânica),3,10.2,Concluída,40900.86,Fiação / Componentes menores
WO-1338,1458,WTG-12,Corrective,Equipe Alpha (Mecânica),3,30.4,Concluída,6766.75,Fiação / Componentes menores
WO-1339,1459,WTG-12,Corrective,Equipe Gama (Geral),3,15.4,Concluída,59235.31,Fiação / Componentes menores
WO-1340,1460,WTG-25,Corrective,Equipe Alpha (Mecânica),2,4.9,Concluída,30145.34,Fiação / Componentes menores
WO-1341,1475,WTG-23,Corrective,Equipe Gama (Geral),3,6.7,Concluída,12603.46,Fiação / Componentes menores
WO-1342,1484,WTG-17,Corrective,Equipe Alpha (Mecânica),3,50.9,Concluída,58310.84,Fiação / Componentes menores
WO-1343,1486,WTG-25,Corrective,Equipe Alpha (Mecânica),3,6.4,Concluída,47341.64,Fiação / Componentes menores
WO-1344,1487,WTG-23,Corrective,Equipe Gama (Geral),2,32.9,Concluída,50611.19,Fiação / Componentes menores
WO-1345,1488,WTG-11,Corrective,Equipe Alpha (Mecânica),2,3.1,Concluída,59850.46,Fiação / Componentes menores
WO-1346,1489,WTG-08,Corrective,Equipe Gama (Geral),3,43.3,Concluída,47908.49,Fiação / Componentes menores
WO-1347,1493,WTG-21,Corrective,Equipe Gama (Geral),3,22.2,Concluída,33888.69,Fiação / Componentes menores
WO-1348,1499,WTG-13,Corrective,Equipe Alpha (Mecânica),3,65.3,Concluída,57977.58,Fiação / Componentes menores
